Title,Year,Conference,Subfield,Authors,Author_Institutions,Author_Countries,Status,Track,Citations
ADVISER: AI-Driven Vaccination Intervention Optimiser for Increasing Vaccine Uptake in Nigeria,2022,IJCAI,Artificial Intelligence,Vineet Nair; Kritika Prakash; Michael Wilbur; Aparna Taneja; Corrine Namblard; Oyindamola Adeyemo; Abhishek Dubey; Abiodun Adereni; Milind Tambe; Ayan Mukhopadhyay,"Google Research, India; Google Research, India; Vanderbilt University, USA; Google Research, India; HelpMum, Nigeria; HelpMum, Nigeria; Vanderbilt University, USA; HelpMum, Nigeria; Google Research, India; Vanderbilt University, USA",India;United States;Nigeria,Poster,Special Track on AI for Good,7
Conditional Independence for Iterated Belief Revision,2022,IJCAI,Artificial Intelligence,Gabriele Kern-Isberner; Jesse Heyninck; Christoph Beierle,"TU Dortmund, Germany + Vrije Universiteit Brussel, Belgium + University of Cape Town and CAIR, South-Africa; TU Dortmund, Germany; FernUniversität in Hagen, Germany",Germany;Belgium;South Africa,Poster,main,9
Decomposition Methods for Solving Scheduling Problem Using Answer Set Programming,2022,IJCAI,Artificial Intelligence,Mohammed M. S. El-Kholany,University of Klagenfurt+Cairo University,Austria;Egypt,Poster,Doctoral Consortium,0
"Lexicographic Entailment, Syntax Splitting and the Drowning Problem",2022,IJCAI,Artificial Intelligence,Jesse Heyninck; Gabriele Kern-Isberner; Thomas Meyer,"Open Universiteit Heerlen, the Netherlands + Vrije Universiteit Brussel, Belgium + Technische Universit ¨at Dortmund, Germany; Technische Universit ¨at Dortmund, Germany; University of Cape Town and CAIR, South-Africa",Netherlands;Belgium;Germany;South Africa,Poster,main,11
Possibilistic Logic Underlies Abstract Dialectical Frameworks,2022,IJCAI,Artificial Intelligence,Jesse Heyninck; Gabriele Kern-Isberner; Tjitze Rienstra; Kenneth Skiba; Matthias Thimm,"Technische Universität Dortmund, Dortmund, Germany+University of Cape Town and CAIR, South-Africa+Vrije Universiteit Brussel, Belgium+Open Universiteit Heerlen, The Netherlands; Technische Universität Dortmund, Dortmund, Germany; Maastricht University, The Netherlands; FernUniversität Hagen, Germany; FernUniversität Hagen, Germany",Germany;South Africa;Belgium;Netherlands,Poster,main,4
Sign-to-Speech Model for Sign Language Understanding: A Case Study of Nigerian Sign Language,2022,IJCAI,Artificial Intelligence,Steven Kolawole; Opeyemi Osakuade; Nayan Saxena; Babatunde Kazeem Olorisade,ML Collective; Data Science Nigeria; ML Collective; Cardiff Metropolitan University,;Nigeria;United Kingdom,Poster,Demo Track,8
Threshold-free Pattern Mining Meets Multi-Objective Optimization: Application to Association Rules,2022,IJCAI,Artificial Intelligence,Charles Vernerey; Samir Loudni; Noureddine Aribi; Yahia Lebbah,"TASC (LS2N-CNRS), IMT Atlantique, 44307 Nantes, France; TASC (LS2N-CNRS), IMT Atlantique, 44307 Nantes, France; Universit ´e Oran1, Lab. LITIO, 31000 Oran, Algeria; Universit ´e Oran1, Lab. LITIO, 31000 Oran, Algeria",France;Algeria,Poster,main,9
Towards Creativity Characterization of Generative Models via Group-Based Subset Scanning,2022,IJCAI,Artificial Intelligence,Celia Cintas; Payel Das; Brian Quanz; Girmaw Abebe Tadesse; Skyler Speakman; Pin-Yu Chen,"IBM Research Africa, Nairobi, Kenya; IBM Research, Yorktown Heights, NY, USA; IBM Research, Yorktown Heights, NY, USA; IBM Research Africa, Nairobi, Kenya; IBM Research Africa, Nairobi, Kenya; IBM Research, Yorktown Heights, NY, USA",Kenya;United States,Poster,"Special Track on AI, the Arts and Creativity",4
Towards New Optimized Artificial Immune Recognition Systems under the Belief Function Theory,2022,IJCAI,Artificial Intelligence,Rihab Abdelkhalek,"LARODEC, Institut Supérieur de Gestion de Tunis, Université de Tunis, Tunis, Tunisia",Tunisia,Poster,Doctoral Consortium,0
Transfer Learning Based Adaptive Automated Negotiating Agent Framework,2022,IJCAI,Artificial Intelligence,Ayan Sengupta; Shinji Nakadai; Yasser Mohammad,"NEC Corporation, Japan; NEC Corporation, Japan + National Institute of Advanced Industrial Science and Technology (AIST), Japan; NEC Corporation, Japan + National Institute of Advanced Industrial Science and Technology (AIST), Japan + Assiut University, Egypt",Japan;Egypt,Poster,main,6
AI-Assisted Tool for Early Diagnosis and Prevention of Colorectal Cancer in Africa,2023,IJCAI,Artificial Intelligence,Bushra Ibnauf; Mohammed Aboul Ezz; Ayman Abdel Aziz; Khalid Elgazzar; Mennatullah Siam,"Soba University Hospital, Khartoum, Sudan; Billharz Resarch Institute, Giza, Egypt; Billharz Resarch Institute, Giza, Egypt; Ontario Tech University, Oshawa, Canada; Ontario Tech University, Oshawa, Canada",Sudan;Egypt;Canada,Poster,AI for Good - Projects,0
Complexity of Efficient Outcomes in Binary-Action Polymatrix Games and Implications for Coordination Problems,2023,IJCAI,Artificial Intelligence,Argyrios Deligkas; Eduard Eiben; Gregory Gutin; Philip Neary; Anders Yeo,"Royal Holloway, University of London; Royal Holloway, University of London; Royal Holloway, University of London; Royal Holloway, University of London; University of Southern Denmark + University of Johannesburg",United Kingdom;Denmark;South Africa,Poster,main,1
Customized Positional Encoding to Combine Static and Time-varying Data in Robust Representation Learning for Crop Yield Prediction,2023,IJCAI,Artificial Intelligence,Qinqing Liu; Fei Dou; Meijian Yang; Ezana Amdework; Guiling Wang; Jinbo Bi,"Computer Science and Engineering Department, University of Connecticut; Computer Science and Engineering Department, University of Connecticut; Center for Climate Systems Research, Climate School, Earth Institute, Columbia University; Department of Sociology, Addis Ababa University; Civil and Environmental Engineering Department, University of Connecticut; Computer Science and Engineering Department, University of Connecticut",United States;Ethiopia,Poster,AI for Good,1
IberianVoxel: Automatic Completion of Iberian Ceramics for Cultural Heritage Studies,2023,IJCAI,Artificial Intelligence,Pablo Navarro; Celia Cintas; Manuel Lucena; José Manuel Fuertes; Antonio Rueda; Rafael Segura; Carlos Ogayar-Anguita; Rolando González-José; Claudio Delrieux,"Instituto Patagónico de Ciencias Sociales y Humanas (CONICET). Puerto Madryn, Argentina; IBM Research Africa, Nairobi, Kenya; Research University Institute for Iberian Archaeology, University of Jaén, Spain; Research University Institute for Iberian Archaeology, University of Jaén, Spain; Research University Institute for Iberian Archaeology, University of Jaén, Spain; Research University Institute for Iberian Archaeology, University of Jaén, Spain; Center for Advanced Studies in Information and Communication Technologies, University of Jaén, Spain; Instituto Patagónico de Ciencias Sociales y Humanas (CONICET). Puerto Madryn, Argentina; Universidad Nacional del Sur, and CONICET. Bahía Blanca, Argentina",Argentina;Kenya;Spain,Poster,AI and Arts,4
Interactive Machine Learning Solutions for Acoustic Monitoring of Animal Wildlife in Biosphere Reserves,2023,IJCAI,Artificial Intelligence,Thiago S. Gouvêa; Hannes Kath; Ilira Troshani; Bengt Lüers; Patricia P. Serafini; Ivan B. Campos; André S. Afonso; Sergio M. F. M. Leandro; Lourens Swanepoel; Nicholas Theron; Anthony M. Swemmer; Daniel Sonntag,"German Research Center for Artificial Intelligence (DFKI), Oldenburg, Germany; German Research Center for Artificial Intelligence (DFKI), Oldenburg, Germany; German Research Center for Artificial Intelligence (DFKI), Oldenburg, Germany; German Research Center for Artificial Intelligence (DFKI), Oldenburg, Germany; National Center for Wild Bird Conservation and Research (CEMAVE), Chico Mendes Institute for Biodiversity Conservation (ICMBio), Brazil; National Center for Wild Bird Conservation and Research (CEMAVE), Chico Mendes Institute for Biodiversity Conservation (ICMBio), Brazil+Departamento de Biologia Geral, Universidade Federal de Minas Gerais (UFMG), Brazil; Marine and Environmental Research Centre (MARE), Aquatic Research Network, Department of Life Sciences, University of Coimbra, Portugal; School of Tourism and Maritime Technology, Polytechnic of Leiria, Peniche, Portugal; Department of Biological Sciences, Faculty of Science, Engineering and Agriculture, University of Venda, South Africa; Kruger to Canyons Biosphere Region NPC, South Africa; South African Environmental Observation Network (SAEON), Kruger National Park, South Africa; German Research Center for Artificial Intelligence (DFKI), Oldenburg, Germany",Germany;Brazil;Portugal;South Africa,Poster,AI for Good - Projects,9
Optimal Anytime Coalition Structure Generation Utilizing Compact Solution Space Representation,2023,IJCAI,Artificial Intelligence,Redha Taguelmimt; Samir Aknine; Djamila Boukredera; Narayan Changder; Tuomas Sandholm,"Univ Lyon, UCBL, CNRS, INSA Lyon, Centrale Lyon, Univ Lyon 2, LIRIS, UMR5205, Lyon, France; Univ Lyon, UCBL, CNRS, INSA Lyon, Centrale Lyon, Univ Lyon 2, LIRIS, UMR5205, Lyon, France; Laboratory of Applied Mathematics, Faculty of Exact Sciences, University of Bejaia, Bejaia, Algeria; TCG Centres for Research and Education in Science and Technology, Kolkata, India; Computer Science Department, Carnegie Mellon University, Pittsburgh, USA + Strategic Machine, Inc. + Strategy Robot, Inc. + Optimized Markets, Inc.",France;Algeria;India;United States,Poster,main,5
Overlooked Implications of the Reconstruction Loss for VAE Disentanglement,2023,IJCAI,Artificial Intelligence,Nathan Michlo; Richard Klein; Steven James,"University of the Witwatersrand, Johannesburg, South Africa; University of the Witwatersrand, Johannesburg, South Africa; University of the Witwatersrand, Johannesburg, South Africa",South Africa,Poster,main,7
Predictive Modelling of Human Reasoning Using AGM Belief Revision,2023,IJCAI,Artificial Intelligence,Clayton Baker,"University of Cape Town, South Africa",South Africa,Poster,Doctoral Consortium,1
Safe Reinforcement Learning via Probabilistic Logic Shields,2023,IJCAI,Artificial Intelligence,Wen-Chi Yang; Giuseppe Marra; Gavin Rens; Luc De Raedt,"Leuven AI, KU Leuven, Belgium; Leuven AI, KU Leuven, Belgium; Stellenbosch University, South Africa; Leuven AI, KU Leuven, Belgium+Centre for Applied Autonomous Sensor Systems, ¨Orebro University, Sweden",Belgium;South Africa;Sweden,Poster,main,39
Faster Optimal Coalition Structure Generation via Offline Coalition Selection and Graph-Based Search,2024,IJCAI,Artificial Intelligence,Redha Taguelmimt; Samir Aknine; Djamila Boukredera; Narayan Changder; Tuomas Sandholm,"Univ Lyon, UCBL, CNRS, INSA Lyon, Centrale Lyon, Univ Lyon 2, LIRIS, UMR5205, Lyon, France; Univ Lyon, UCBL, CNRS, INSA Lyon, Centrale Lyon, Univ Lyon 2, LIRIS, UMR5205, Lyon, France; Laboratory of Applied Mathematics, Faculty of Exact Sciences, University of Bejaia, Bejaia, Algeria; TCG Centres for Research and Education in Science and Technology, Kolkata, India; Computer Science Department, Carnegie Mellon University, Pittsburgh, USA+Strategy Robot, Inc.+Strategic Machine, Inc.+Optimized Markets, Inc.",France;Algeria;India;United States,Poster,main,3
Medical Neural Architecture Search: Survey and Taxonomy,2024,IJCAI,Artificial Intelligence,Hadjer Benmeziane; Imane Hamzaoui; Zayneb Cherif; Kaoutar El Maghraoui,"IBM Research Europe, 8803 R ¨uschlikon, Switzerland; ´Ecole nationale Sup ´erieure d’Informatique, Algiers, Algeria; Yorktown High school, Yorktown Heights, 10598, USA; IBM T. J. Watson Research Center, Yorktown Heights, NY 10598, USA",Switzerland;Algeria;United States,Poster,Survey Track,3
"Semantics for Non-Flat Assumption-Based Argumentation, Revisited",2024,IJCAI,Artificial Intelligence,Jesse Heyninck; Ofer Arieli,"Department of Computer Science, Open Universiteit, Heerlen, the Netherlands + University of Cape Town and CAIR, South-Africa; School of Computer Science, Tel-Aviv Academic College, Tel-Aviv, Israel",Netherlands;South Africa;Israel,Poster,main,0
Tolerating Outliers: Gradient-Based Penalties for Byzantine Robustness and Inclusion,2024,IJCAI,Artificial Intelligence,Latifa Errami; El Houcine Bergou,"College of Computing, Mohammed VI Polytechnic University, Ben Guerir, Morocco; College of Computing, Mohammed VI Polytechnic University, Ben Guerir, Morocco",Morocco,Poster,main,0
Using Causal Inference to Investigate Contraceptive Discontinuation in Sub-Saharan Africa,2024,IJCAI,Artificial Intelligence,Victor Akinwande; Megan MacGregor; Celia Cintas; Ehud Karavani; Dennis Wei; Kush R. Varshney; Pablo Nepomnaschy,"Carnegie Mellon University, Pittsburgh, PA, USA; Faculty of Health Sciences, Simon Fraser University, Canada; IBM Research, Nairobi, Kenya; IBM Research, Israel; IBM Research, Yorktown Heights, NY, USA; IBM Research, Yorktown Heights, NY, USA; Faculty of Health Sciences, Simon Fraser University, Canada",United States;Canada;Kenya;Israel,Poster,AI for Good,0
Using Large Language Models to Improve Query-based Constraint Acquisition,2024,IJCAI,Artificial Intelligence,Younes Mechqrane; Christian Bessiere; Ismail Elabbassi,"Ai movement - International Artificial Intelligence Center of Morocco - University Mohammed VI Polytechnic, Rabat, Morocco; CNRS, University of Montpellier, France; Ai movement - International Artificial Intelligence Center of Morocco - University Mohammed VI Polytechnic, Rabat, Morocco",Morocco;France,Poster,main,0
Decision Platform for Pattern Discovery and Causal Effect Estimation in Contraceptive Discontinuation,2020,IJCAI,Artificial Intelligence,Celia Cintas; Ramya Raghavendra; Victor Akinwande; Aisha Walcott-Bryant; Charity Wayua; Komminist Weldemariam,"IBM Research Africa, Nairobi, Kenya; IBM T. J. Watson Research Center, Yorktown, NY, USA; IBM Research Africa, Nairobi, Kenya; IBM Research Africa, Nairobi, Kenya; IBM Research Africa, Nairobi, Kenya; IBM Research Africa, Nairobi, Kenya",Kenya;United States,Poster,Demos,0
Detecting Adversarial Attacks via Subset Scanning of Autoencoder Activations and Reconstruction Error,2020,IJCAI,Artificial Intelligence,Celia Cintas; Skyler Speakman; Victor Akinwande; William Ogallo; Komminist Weldemariam; Srihari Sridharan; Edward McFowland,"IBM Research Africa, Nairobi, Kenya; IBM Research Africa, Nairobi, Kenya; IBM Research Africa, Nairobi, Kenya; IBM Research Africa, Nairobi, Kenya; IBM Research Africa, Nairobi, Kenya; IBM Research Africa, Nairobi, Kenya; Carlson School of Management, University of Minnesota, USA",Kenya;United States,Poster,main,0
On the Enumeration of Association Rules: A Decomposition-based Approach,2020,IJCAI,Artificial Intelligence,Yacine Izza; Said Jabbour; Badran Raddaoui; Abdelahmid Boudane,"ANITI, Toulouse, France+CRIL & CNRS, Universit ´e d’Artois, Lens, France; CRIL & CNRS, Universit ´e d’Artois, Lens, France; SAMOV AR, T ´el´ecom SudParis, Institut Polytechnique de Paris, France; LMTO, Ecole Militaire Polytechnique, Algeria",France;Algeria,Poster,main,0
Modeling Institutions in Socio-Ecosystems,2021,IJCAI,Artificial Intelligence,Sitraka Oliva Raharivelo; Jean-Pierre Müller,"Département de Mathématiques et Informatiques, Université d’Antananarivo; CIRAD, UMR SENS, 34398 Montpellier, France + SENS, Univ Montpellier, CIRAD, IRD, UPVM, Montpellier, France",Madagascar;France,Poster,Doctoral Consortium,1
Synthesizing Navigation Abstractions for Planning with Portable Manipulation Skills,2023,CORL,Artificial Intelligence,Eric Rosen;Steven James;Sergio Orozco;Vedant Gupta;Max Merlin;Stefanie Tellex;George Konidaris,"Brown University;University of the Witwatersrand;Brown University;Brown University;Brown University;, Brown University;Brown University",United States;South Africa,Poster,main,5
Harmonic-NAS: Hardware-Aware Multimodal Neural Architecture Search on Resource-constrained Devices,2023,ACML,Artificial Intelligence,Mohamed Imed Eddine Ghebriout; Halima Bouzidi; Smail Niar; Hamza Ouarnoughi,"Higher National School of Computer Science - ESI ex INI; Université Polytechnique Hauts-de-France, LAMIH/CNRS; Université Polytechnique Hauts-de-France, LAMIH/CNRS; Université Polytechnique Hauts-de-France, LAMIH/CNRS, INSA Hauts-de-France",Algeria;France,Poster,main,6
SANGEA: Scalable and Attributed Network Generation,2023,ACML,Artificial Intelligence,Valentin Lemaire; Youssef Achenchabe; Lucas Ody; Houssem Eddine Souid; Gianmarco Aversano; Nicolas Posocco; Sabri Skhiri,"Euranova, Rue Emile Francqui 4, 1435 Mont-Saint-Guibert, Belgium; Euranova, 146 Rue Paradis, 13006 Marseille, France; Euranova, 6 Les Berges du Lac 3, Tunis 2015, Tunisia; Euranova, Rue Emile Francqui 4, 1435 Mont-Saint-Guibert, Belgium; Euranova, Rue Emile Francqui 4, 1435 Mont-Saint-Guibert, Belgium; Euranova, Rue Emile Francqui 4, 1435 Mont-Saint-Guibert, Belgium; Euranova, Rue Emile Francqui 4, 1435 Mont-Saint-Guibert, Belgium",Belgium;France;Tunisia,Poster,main,3
"Learning from Data by Guiding the Analyst: On the Representation, Use and Creation of Visual Statistical Strategies",1995,AISTATS,Artificial Intelligence,Forrest W. Young; David J. Lubinsky,"Psychometric Laboratory, University of North Carolina, Chapel Hill, NC, USA; Department of Computer Science, University of Witwatersrand, Johannesburg, South Africa",United States;South Africa,Poster,main,4
Tree Structured Interpretable Regression,1995,AISTATS,Artificial Intelligence,David Lubinsky,"Department of Computer Science, University of The Witlvatersrand, Johannesburg, South Africa",South Africa,Poster,main,24
Implicit Regularization in Deep Tucker Factorization: Low-Rankness via Structured Sparsity,2024,AISTATS,Artificial Intelligence,Kais Hariz; Hachem Kadri; Stéphane Ayache; Maher Moakher; Thierry Artières,"Aix Marseille University, CNRS, LIS, Marseille, France+LAMSIN, National Engineering School of Tunis, University of Tunis El Manar, Tunis, Tunisia; Aix Marseille University, CNRS, LIS, Marseille, France; Aix Marseille University, CNRS, LIS, Marseille, France; LAMSIN, National Engineering School of Tunis, University of Tunis El Manar, Tunis, Tunisia; Aix Marseille University, CNRS, LIS, Marseille, France+Ecole Centrale de Marseille, Marseille, France",France;Tunisia,Poster,main,1
Sparse Bayesian Variable Selection for the Identification of Antigenic Variability in the Foot-and-Mouth Disease Virus,2014,AISTATS,Artificial Intelligence,Vinny Davies; Richard Reeve; William Harvey; Francois Maree; Dirk Husmeier,"School of Mathematics and Statistics, University of Glasgow, UK + Boyd Orr Centre for Population and Ecosystem Health, and Institute of Biodiversity, Animal Health and Comparative Medicine, University of Glasgow, UK; School of Mathematics and Statistics, University of Glasgow, UK; School of Mathematics and Statistics, University of Glasgow, UK; Transboundary Animal Diseases Programme, Onderstepoort Veterinary Institute, SA + School of Mathematics and Statistics, University of Glasgow, UK; School of Mathematics and Statistics, University of Glasgow, UK",United Kingdom;South Africa,Poster,main,8
Tighter Theory for Local SGD on Identical and Heterogeneous Data,2020,AISTATS,Artificial Intelligence,Ahmed Khaled; Konstantin Mishchenko; Peter Richtarik,Cairo University; KAUST+KAUST; KAUST,Egypt;Saudi Arabia,Poster,main,539
Multilingual Epidemiological Text Classification: A Comparative Study,2020,COLING,Computational Linguistics,Stephen Mutuvi; Emanuela Boros; Antoine Doucet; Adam Jatowt; Gaël Lejeune; Moses Odeo,"Multimedia University, Kenya; University of La Rochelle, France; University of La Rochelle, France; Sorbonne University, France; Kyoto University, Japan; Multimedia University, Kenya",Kenya;France;Japan,Main,main,35
Two-level classification for dialogue act recognition in task-oriented dialogues,2020,COLING,Computational Linguistics,Philippe Blache; Massina Abderrahmane; Stéphane Rauzy; Magalie Ochs; Houda Oufaida,"LPL-CNRS-AMU, Aix-en-Provence, France; ESI, Algiers, Algeria; LPL-CNRS-AMU, Aix-en-Provence, France; LIS-CNRS-AMU, Marseille, France; ESI, Algiers, Algeria",France;Algeria,Main,main,12
"A Survey of Code-switched Arabic NLP: Progress, Challenges, and Future Directions",2025,COLING,Computational Linguistics,Injy Hamed; Caroline Sabty; Slim Abdennadher; Ngoc Thang Vu; Thamar Solorio; Nizar Habash,"MBZUAI+University of Houston+New York University Abu Dhabi; German International University, Egypt; German International University, Egypt; University of Stuttgart; MBZUAI+University of Houston; MBZUAI+New York University Abu Dhabi",United Arab Emirates;United States;Egypt;Germany,Main,main,1
"Cognate Detection for Historical Language Reconstruction of Proto-Sabean Languages: the Case of Ge’ez, Tigrinya, and Amharic",2025,COLING,Computational Linguistics,Elleni Sisay Temesgen; Hellina Hailu Nigatu; Fitsum Assamnew Andargie,"Addis Ababa Institute of Technology, Ethiopia; University of California Berkeley, USA; Addis Ababa Institute of Technology, Ethiopia",Ethiopia;United States,Main,main,0
Cross-Lingual Knowledge Projection and Knowledge Enhancement for Zero-Shot Question Answering in Low-Resource Languages,2025,COLING,Computational Linguistics,Sello Ralethe; Jan Buys,"Department of Computer Science, University of Cape Town, South Africa; Department of Computer Science, University of Cape Town, South Africa",South Africa,Main,main,0
Enhancing Long-range Dependency with State Space Model and Kolmogorov-Arnold Networks for Aspect-based Sentiment Analysis,2025,COLING,Computational Linguistics,Adamu Lawan; Juhua Pu; Haruna Yunusa; Aliyu Umar; Muhammad Lawan,"School of Computer Science and Technology, Beihang University, Beijing, China; School of Computer Science and Technology, Beihang University, Beijing, China + National Research Institute for Teaching Materials in Information Science and Tech., China; School of Automation Science and Electrical Engineering, Beihang University, Beijing, China; School of Computing, University of Portsmouth, Portsmouth, UK; Department of Information and Communication Technology, Federal University, Gusau, Nigeria",China;United Kingdom;Nigeria,Main,main,2
Evaluating the Capabilities of Large Language Models for Multi-label Emotion Understanding,2025,COLING,Computational Linguistics,Tadesse Destaw Belay; Israel Abebe Azime; Abinew Ali Ayele; Grigori Sidorov; Dietrich Klakow; Philip Slusallek; Olga Kolesnikova; Seid Muhie Yimam,"Instituto Politécnico Nacional (IPN), CIC+Wollo University; Saarland University; Bahir Dar University+University of Hamburg; Instituto Politécnico Nacional (IPN), CIC; Saarland University; Saarland University; Instituto Politécnico Nacional (IPN), CIC; University of Hamburg",Mexico;Ethiopia;Germany,Main,main,7
Multilingual and Explainable Text Detoxification with Parallel Corpora,2025,COLING,Computational Linguistics,Daryna Dementieva; Nikolay Babakov; Amit Ronen; Abinew Ali Ayele; Naquee Rizwan; Florian Schneider; Xintong Wang; Seid Muhie Yimam; Daniil Moskovskiy; Elisei Stakovskii; Eran Kaufman; Ashraf Elnagar; Animesh Mukherjee; Alexander Panchenko,Technical University of Munich; Universidade de Santiago de Compostela; Shenkar College; University of Hamburg+Bahir Dar University; University of Hamburg; IIT Kharagpur; University of Sharjah; Skoltech+AIRI; Skoltech+AIRI; University of North Carolina at Chapel Hill; Shenkar College; University of Sharjah; IIT Kharagpur; Skoltech+AIRI,Germany;Spain;Israel;Ethiopia;India;United Arab Emirates;Russian Federation;Japan;United States,Main,main,3
Task-Oriented Dialog Systems for the Senegalese Wolof Language,2025,COLING,Computational Linguistics,Derguene Mbaye; Moussa Diallo,Baamtu Technologies + Université Cheikh Anta Diop; Ecole Supérieure Polytechnique (ESP),;Senegal,Main,main,0
Uchaguzi-2022: A Dataset of Citizen Reports on the 2022 Kenyan Election,2025,COLING,Computational Linguistics,Roberto Mondini; Neema Kotonya; Robert L Logan IV; Elizabeth M. Olson; Angela Oduor Lungati; Daniel Odongo; Tim Ombasa; Hemank Lamba; Aoife Cahill; Joel Tetreault; Alejandro Jaimes,Dataminr Inc.; Dataminr Inc.; Dataminr Inc.; Dataminr Inc.; Ushahidi; Ushahidi; Ushahidi; Dataminr Inc.; Dataminr Inc.; Dataminr Inc.; Dataminr Inc.,United States;Kenya,Main,main,0
