Country,Papers
United States,56368
China,37531
United Kingdom,10570
Germany,8199
Canada,5873
South Korea,5419
Singapore,4646
Japan,4610
Australia,4328
France,4269
Switzerland,4261
Italy,2464
India,2161
Israel,2110
Netherlands,1780
Sweden,1104
Spain,1014
United Arab Emirates,922
Austria,883
Denmark,797
Belgium,714
Russian Federation,631
Finland,533
Saudi Arabia,531
Czech Republic,430
Poland,335
Greece,327
Portugal,307
Brazil,303
Unknown,302
Vietnam,295
Norway,284
Türkiye,221
New Zealand,201
Ireland,199
Iran,175
South Africa,118
Romania,107
Luxembourg,90
Qatar,87
Chile,84
Slovenia,75
Hungary,73
Thailand,62
Mexico,58
Argentina,51
Bangladesh,49
Pakistan,47
Malaysia,47
Croatia,46
Colombia,46
Estonia,42
Czechia,40
Egypt,39
Cyprus,38
Bulgaria,35
Lebanon,35
Indonesia,33
Sri Lanka,26
Serbia,24
Kazakhstan,19
Algeria,17
Nigeria,16
Slovakia,16
Tunisia,15
Kenya,14
Armenia,14
Ukraine,14
Philippines,13
Uruguay,13
Peru,12
Morocco,11
Ecuador,11
Latvia,10
Libya,10
Iceland,9
Cameroon,9
Bosnia and Herzegovina,9
Russia,8
Malta,8
Ethiopia,7
Jordan,7
Ghana,6
Iraq,6
Nepal,4
Lithuania,4
Rwanda,4
Cuba,3
Uzbekistan,3
Uganda,3
Kingdom of Saudi Arabia,3
Kuwait,3
Azerbaijan,3
Costa Rica,3
Bahrain,2
Puerto Rico,2
State of Palestine,2
Kosovo,2
North Macedonia,2
Zambia,2
Venezuela,2
Liechtenstein,2
Sudan,1
Madagascar,1
Benin,1
Bolivia,1
Tanzania,1
Georgia,1
Oman,1
Mozambique,1
Guyana,1
Gibraltar,1
Belarus,1
Myanmar,1
New Caledonia,1
French Polynesia,1
Burkina Faso,1
Senegal,1
Malawi,1
Togo,1
Mali,1
