institution,matched_name,city,country_code,latitude,longitude,source,ror_id,openalex_id,score
CSIRO’s Data61,,,,,,,,,0
"Research, Singapore+School of computing",Wageningen University & Research,Wageningen,NL,51.97,5.66667,openalex,,https://openalex.org/I913481162,0.0
Udeer.ai,,,,,,,,,0
tapall.ai,,,,,,,,,0
JD.com,Jingdong (China),Beijing,CN,39.9075,116.39723,openalex,,https://openalex.org/I4210103986,0.0
AI Research of JD.com,,,,,,,,,0
King’s College,The King's University,Edmonton,CA,53.55014,-113.46871,openalex,,https://openalex.org/I61614213,0.0
Style3D Research,,,,,,,,,0
Xiaobing.AI,,,,,,,,,0
Style3D,,,,,,,,,0
Abacus.AI,,,,,,,,,0
unaffiliated,,,,,,,,,0
Lyrebird.ai,,,,,,,,,0
SalesForce.com,,,,,,,,,0
cidi-lab,,,,,,,,,0
physical intelligence,,,,,,,,,0
shanghai ai lab,Shanghai Artificial Intelligence Laboratory,Shanghai,,31.22222,121.45806,openalex,,https://openalex.org/I4391012619,0.0
E2open,,,,,,,,,0
Monteﬁore Institute,,,,,,,,,0
Institute of Scientiﬁc,,,,,,,,,0
1+2,Université de Montpellier,Montpellier,FR,43.61093,3.87635,openalex,,https://openalex.org/I19894307,0.0
1+2+3+4+5,Délégation Paris 5,Paris,FR,48.85341,2.3488,openalex,,https://openalex.org/I110736937,0.0
College of Comp. Sci.,,,,,,,,,0
ByteDance4,,,,,,,,,0
Meta2,,,,,,,,,0
´Ecole polytechnique,Ecole Nationale Polytechnique de Constantine,Constantine,,36.365,6.61472,openalex,,https://openalex.org/I4408541918,0.0
UJM-Saint-Etienne-LabHC1,,,,,,,,,0
MI-6 Ltd.,,,,,,,,,0
Allegro.pl,,,,,,,,,0
Yahoo! Labs.,,,,,,,,,0
Research Lab,United States Army Aeromedical Research Lab,Fort Novosel,US,31.34282,-85.71538,openalex,,https://openalex.org/I4210102123,0.0
University of Montr´eal,,,,,,,,,0
Amazon.com,Amazon (United States),Seattle,US,47.60621,-122.33207,openalex,,https://openalex.org/I1311688040,0.0
University College London†,University College London,London,GB,51.50853,-0.12574,openalex,,https://openalex.org/I45129253,0.0
University of Delaware††,University of Delaware,Newark,US,39.68372,-75.74966,openalex,,https://openalex.org/I86501945,0.0
University College London‡,University College London,London,GB,51.50853,-0.12574,openalex,,https://openalex.org/I45129253,0.0
Boğaziçi University,Boğaziçi University,Istanbul,TR,41.01384,28.94966,openalex,,https://openalex.org/I4405392,0.0
CISPA†,Helmholtz Center for Information Security,Saarbrücken,DE,49.23262,7.00982,openalex,,https://openalex.org/I4210128801,0.0
yg ferkeley,,,,,,,,,0
DLID,,,,,,,,,0
'HSDUWPHQWRI6WDWLVWLFV5XWJHUV8QLYHUVLW3LVFDWDZD1-,,,,,,,,,0
meta ai,,,,,,,,,0
university of rome tor vergata,University of Rome Tor Vergata,Rome,IT,41.89193,12.51133,openalex,,https://openalex.org/I116067653,0.0
University of Helsinki∗,University of Helsinki,Helsinki,FI,60.16952,24.93545,openalex,,https://openalex.org/I133731052,0.0
V oyLab,,,,,,,,,0
University College London*,University College London,London,GB,51.50853,-0.12574,openalex,,https://openalex.org/I45129253,0.0
